Report Number,Occurred Date,Occurred Time,Reported Date,Reported Time,Crime Subcategory,Primary Offense Description,Precinct,Sector,Beat,Neighborhood
2019000053933,02/12/2019,1310,02/12/2019,1422,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B1,BALLARD SOUTH
2019000053941,02/12/2019,1310,02/12/2019,1310,CAR PROWL,THEFT-CARPROWL,NORTH,J,J2,BALLARD NORTH
2019000053948,02/12/2019,1328,02/12/2019,1328,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,NORTH,U,U1,ROOSEVELT/RAVENNA
2019000053950,02/11/2019,2000,02/12/2019,1327,CAR PROWL,THEFT-CARPROWL,SOUTH,R,R2,MOUNT BAKER
201900005396,01/04/2019,2025,01/04/2019,2025,NARCOTIC,NARC-POSSESS-METH,NORTH,N,N1,BITTERLAKE
2019000053974,02/10/2019,1615,02/12/2019,1345,MOTOR VEHICLE THEFT,VEH-THEFT-AUTO,NORTH,N,N3,NORTHGATE
2019000053998,02/11/2019,900,02/12/2019,1510,CAR PROWL,THEFT-LICENSE PLATE,EAST,G,G1,FIRST HILL
2019000053999,02/11/2019,2100,02/12/2019,1913,BURGLARY-RESIDENTIAL-SECURE PARKING,BURGLARY-SECURE PARKING-RES,EAST,E,E3,FIRST HILL
2019000054035,02/12/2019,1445,02/12/2019,1518,THEFT-SHOPLIFT,THEFT-SHOPLIFT,NORTH,B,B2,FREMONT
2019000054038,02/09/2019,900,02/12/2019,1454,BURGLARY-RESIDENTIAL,BURGLARY-NOFORCE-RES,WEST,D,D3,SLU/CASCADE
2019000054040,02/12/2019,1627,02/12/2019,1627,TRESPASS,TRESPASS,EAST,G,G2,CENTRAL AREA/SQUIRE PARK
2019000054044,02/08/2019,1600,02/12/2019,1501,BURGLARY-COMMERCIAL,BURGLARY-FORCE-NONRES,SOUTH,O,O3,GEORGETOWN
2019000054046,01/25/2019,2100,02/12/2019,1503,BURGLARY-RESIDENTIAL,BURGLARY-FORCE-RES,NORTH,N,N1,BITTERLAKE
