PROVINCIA;CANTON;PARROQUIA;TIPO DE INSCRIPCION;AÑO;MES;TOTAL;;;
LOJA;CATAMAYO;CATAMAYO;Oportunas (hasta 48 horas);2016;2;10;;;
LOJA;CATAMAYO;CATAMAYO;Tardías (mayores de 48 horas);2016;1;11;;;
LOS RIOS;VINCES;VINCES;Tardías (mayores de 48 horas);2016;2;21;;;
LOS RIOS;VALENCIA;VALENCIA;Oportunas (hasta 48 horas);2016;2;6;;;
LOS RIOS;URDANETA;CATARAMA;Oportunas (hasta 48 horas);2016;2;4;;;
LOS RIOS;QUINSALOMA;QUINSALOMA;Oportunas (hasta 48 horas);2016;2;1;;;
LOS RIOS;QUINSALOMA;QUINSALOMA;Tardías (mayores de 48 horas);2016;2;3;;;
LOS RIOS;BUENA FE;SN JACINTO DE BUENA FE;Oportunas (hasta 48 horas);2016;1;19;;;
LOS RIOS;BABAHOYO;CLEMENTE BAQUERIZO;Tardías (mayores de 48 horas);2016;2;15;;;
MANABI;SUCRE;LEONIDAS PLAZA G;Oportunas (hasta 48 horas);2016;1;2;;;
MANABI;PEDERNALES;PEDERNALES;Oportunas (hasta 48 horas);2016;1;3;;;
MANABI;OLMEDO;OLMEDO /PUCA/;Oportunas (hasta 48 horas);2016;2;1;;;
MANABI;JAMA;JAMA;Oportunas (hasta 48 horas);2016;2;1;;;
MANABI;FLAVIO ALFARO;FLAVIO ALFARO;Oportunas (hasta 48 horas);2016;1;4;;;
MANABI;EL CARMEN;EL CARMEN;Tardías (mayores de 48 horas);2016;1;13;;;
MANABI;EL CARMEN;EL CARMEN;Oportunas (hasta 48 horas);2016;1;21;;;
MANABI;CHONE;CHONE;Tardías (mayores de 48 horas);2016;1;21;;;
MANABI;BOLIVAR;CALCETA;Tardías (mayores de 48 horas);2016;2;7;;;
MANABI;BOLIVAR;CALCETA;Tardías (mayores de 48 horas);2016;1;10;;;
MORONA SANTIAGO;TAISHA;TAISHA;Tardías (mayores de 48 horas);2016;2;6;;;
MORONA SANTIAGO;GUALAQUIZA;GUALAQUIZA;Tardías (mayores de 48 horas);2016;2;4;;;
ORELLANA;FCO. DE ORELLANA;PTO. FCO. DE ORELLANA;Tardías (mayores de 48 horas);2016;2;8;;;
PASTAZA;PASTAZA;PUYO;Oportunas (hasta 48 horas);2016;1;11;;;
PASTAZA;PASTAZA;PUYO;Tardías (mayores de 48 horas);2016;1;8;;;
PICHINCHA;QUITO;COTOCOLLAO ;Oportunas (hasta 48 horas);2016;2;22;;;
PICHINCHA;QUITO;POMASQUI;Oportunas (hasta 48 horas);2016;2;3;;;
PICHINCHA;QUITO;TUMBACO;Oportunas (hasta 48 horas);2016;2;17;;;
PICHINCHA;QUITO;IÑAQUITO;Tardías (mayores de 48 horas);2016;1;37;;;
PICHINCHA;PUERTO QUITO;PUERTO QUITO;Tardías (mayores de 48 horas);2016;2;6;;;
SANTA ELENA;SANTA ELENA;MANGLARALTO;Tardías (mayores de 48 horas);2016;1;8;;;
STO DGO TSACHIL;SANTO DOMINGO;S DOMINGO DE LOS CLDS;Oportunas (hasta 48 horas);2016;1;97;;;
STO DGO TSACHIL;SANTO DOMINGO;ZARACAY;Oportunas (hasta 48 horas);2016;2;4;;;
TUNGURAHUA;AMBATO;HUACHI CHICO;Oportunas (hasta 48 horas);2016;2;59;;;
