DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
"100100853,04/25/2010,04/25/2010,1415,01,Central,0123,350,""THEFT, PERSON"",0344,60,M,H,101,STREET,,,IC,Invest Cont,350,,,,1ST,BROADWAY,""(34.0537, -118.2455)"""
"100100861,04/30/2010,04/29/2010,1945,04,Hollenbeck,0453,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,0,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,745,,,,200 E  BOYLE                        ST,,""(34.0486, -118.2192)"""
"100100862,04/30/2010,04/30/2010,2005,01,Central,0185,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0311 0329 1402,9,F,H,102,SIDEWALK,,,IC,Invest Cont,745,998,,,9TH,MAIN                         ST,""(34.0411, -118.2545)"""
"100100872,05/03/2010,05/03/2010,0746,01,Central,0124,755,BOMB SCARE,0404,9,M,H,725,""GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)"",511,VERBAL THREAT,IC,Invest Cont,755,,,,200 N  SPRING                       ST,,""(34.054, -118.2435)"""
"100100877,05/05/2010,05/05/2010,1810,01,Central,0158,624,BATTERY - SIMPLE ASSAULT,0416,34,F,B,101,STREET,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,624,,,,7TH                          ST,CERES,""(34.0377, -118.2425)"""
"100100879,05/05/2010,05/05/2010,1500,01,Central,0182,310,BURGLARY,0344,0,M,O,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",,,IC,Invest Cont,310,998,,,1100 S  GRAND                        AV,,""(34.0416, -118.262)"""
"100100880,05/05/2010,05/05/2010,2125,01,Central,0162,341,""THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD"",0344 1402,0,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,341,998,,,700 W  7TH                          ST,,""(34.048, -118.2577)"""
"100100888,05/06/2010,05/06/2010,1345,01,Central,0129,946,OTHER MISCELLANEOUS CRIME,1402,9,M,O,101,STREET,,,IC,Invest Cont,946,998,,,ALAMEDA,COMMERCIAL,""(34.0537, -118.2379)"""
"100100892,05/07/2010,05/07/2010,0250,01,Central,0195,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,18,M,H,203,OTHER BUSINESS,,,AA,Adult Arrest,740,,,,1700    MAPLE                        AV,,""(34.0308, -118.2602)"""
"0809,01/17/2015,01/16/2015,2130,09,Van Nuys,0938,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,6200    FULTON                       AV,,""(34.1814, -118.4263)"""
"100100898,05/10/2010,05/10/2010,0115,01,Central,0144,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,0,M,H,101,STREET,,,AA,Adult Arrest,740,,,,5TH                          ST,SPRING                       ST,""(34.0474, -118.2496)"""
"100100928,05/13/2010,05/13/2010,1810,01,Central,0122,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1402,0,M,H,102,SIDEWALK,,,IC,Invest Cont,440,998,,,100 N  HILL                         ST,,""(34.0544, -118.2466)"""
"100100936,05/17/2010,05/17/2010,1730,01,Central,0182,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 1222 2000,19,F,W,210,RESTAURANT/FAST FOOD,400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",AA,Adult Arrest,626,,,,11TH                         ST,FIGUEROA                     ST,""(34.0437, -118.2652)"""
"100100949,05/19/2010,05/19/2010,0715,01,Central,0153,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1300 2004,31,F,B,122,""VEHICLE, PASSENGER/TRUCK"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,740,,,,5TH,WALL,""(34.0446, -118.245)"""
"100100957,05/20/2010,05/20/2010,1300,01,Central,0195,946,OTHER MISCELLANEOUS CRIME,,0,M,H,102,SIDEWALK,,,IC,Invest Cont,946,998,,,1300 S  LOS ANGELES                  ST,,""(34.0357, -118.2593)"""
"100100963,05/22/2010,05/22/2010,2345,01,Central,0118,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 2000,34,F,H,502,""MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)"",400,""STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)"",IC,Invest Cont,626,,,,200    LEROY                        ST,,""(34.0649, -118.2289)"""
"100100964,05/22/2010,05/22/2010,0220,01,Central,0141,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329 1609,41,F,H,210,RESTAURANT/FAST FOOD,,,IC,Invest Cont,740,,,,400 S  FIGUEROA                     ST,,""(34.0535, -118.256)"""
"100100978,05/30/2010,05/30/2010,0215,01,Central,0111,740,""VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)"",0329,45,M,W,122,""VEHICLE, PASSENGER/TRUCK"",,,IC,Invest Cont,740,,,,ARCADIA,BROADWAY,""(34.0571, -118.2422)"""
